X,Y,T,A
486467.62807368994,4418647.513784826,413.0,48.0
486592.8872946975,4419046.3408096805,416.0,51.0
486781.0494452174,4419338.125597956,417.0,52.0
486878.95416248013,4419074.775761945,421.0,56.0
486878.95416248013,4419074.775761945,421.0,56.0
486352.5912776799,4419368.362582526,423.0,58.0
486887.9798593713,4419125.951621987,413.0,48.0
486717.48162053886,4418964.189073329,413.0,48.0
486311.72823751176,4419008.073027148,426.0,61.0
486063.78220255976,4419232.678614563,426.0,61.0
486068.6458396937,4419214.5668824585,426.0,61.0
486167.23730789725,4419268.690566271,426.0,61.0
486352.5912776799,4419368.362582526,431.0,66.0
486311.72823751176,4419008.073027148,431.0,66.0
486311.72823751176,4419008.073027148,432.0,67.0
486364.4745749654,4418532.321992385,432.0,67.0
486361.60108679207,4419370.834546486,434.0,69.0
486345.5441691627,4418951.901992358,433.0,68.0
486592.8872946975,4419046.3408096805,433.0,68.0
486467.7245964571,4419302.238674281,430.0,65.0
486656.18250136444,4418896.269707485,440.0,75.0
486467.7245964571,4419302.238674281,445.0,80.0
486467.7245964571,4419302.238674281,445.0,80.0
486717.48162053886,4418964.189073329,445.0,80.0
486089.8523010819,4419327.784965096,446.0,81.0
487197.1524117356,4419157.596568683,441.0,76.0
486463.56206185505,4419302.947353553,442.0,77.0
486813.7696016585,4418717.912342543,447.0,82.0
486488.4881938808,4418835.262793898,447.0,82.0
486428.1285688469,4419130.032435909,442.0,77.0
486717.8223918625,4419305.413416875,442.0,77.0
486057.6774955008,4419286.163653382,437.0,72.0
486375.4084215061,4419396.660902404,444.0,79.0
487064.3367149361,4418348.413729996,437.0,72.0
486376.18732192676,4419377.966742155,449.0,84.0
486557.93378124945,4419250.5181905,450.0,85.0
486217.0416582282,4418909.197360992,451.0,86.0
486954.5118155782,4418551.842391384,451.0,86.0
486473.1429517052,4419173.30275179,452.0,87.0
486356.65640438185,4419371.676183079,452.0,87.0
486440.753191017,4419127.90140974,452.0,87.0
486213.58620906575,4418416.057509304,452.0,87.0
486175.9587085288,4418723.616384432,453.0,88.0
486352.0020965111,4418730.518178376,453.0,88.0
486204.5158934732,4418908.2839364605,453.0,88.0
486656.18250136444,4418896.269707485,453.0,88.0
486333.4690922071,4418351.674825982,454.0,89.0
486278.061153679,4419003.062172642,454.0,89.0
486588.3087160695,4419040.5653437795,455.0,90.0
486402.650865176,4419173.997960417,455.0,90.0
486175.9587085288,4418723.616384432,456.0,91.0
486656.18250136444,4418896.269707485,459.0,94.0
486340.1637006453,4419187.662290451,465.0,100.0
486392.15108437365,4418358.052293626,465.0,100.0
486219.79218286613,4418742.164368853,466.0,101.0
486175.9587085288,4418723.616384432,461.0,96.0
486057.6774955008,4419286.163653382,467.0,102.0
487003.0938233904,4418398.026614561,467.0,102.0
